순위,제품ID,제품명,카테고리,원가USD,권장정가USD,마진USD,마진율%,배송비조회됨,이미지URL,제품링크
91,3827,Custom Dag Paw Christmas Stocking,Christmas Gifts,3.16,12.99,9.83,75.7,Y,https://ipimg.interestprint.com/data/product/3827/img/20240918/20240918230426810451_250x250.jpg,https://www.interestprint.com/custom/custom_dag_paw_christmas_stocking-3827.html
92,4688,Custom Flag with Four Grommets (35x59 in),Home Decor,3.16,16.99,13.83,81.4,Y,https://ipimg.interestprint.com/data/product/4688/img/20250917/20250917010702128630_250x250.jpg,https://www.interestprint.com/custom/custom_flag_with_four_grommets_35x59_in-4688.html
93,4027,All Over Print Scarf,Mother's Day,3.22,15.99,12.77,79.9,Y,https://ipimg.interestprint.com/data/product/4027/img/20241201/20241201211006892321_250x250.jpg,https://www.interestprint.com/custom/all_over_print_scarf-4027.html
94,5722,Kids' Yoga Pants,Kid's Clothing,3.22,9.99,6.77,67.8,Y,https://ipimg.interestprint.com/data/product/5722/img/20260527/20260527133247172389_250x250.jpg,https://www.interestprint.com/custom/kids_yoga_pants-5722.html
95,4903,Superfine Fiber Towel,Home Decor,3.22,15.99,12.77,79.9,Y,https://ipimg.interestprint.com/data/product/4903/img/20251103/20251103234746504105_250x250.jpg,https://www.interestprint.com/custom/superfine_fiber_towel-4903.html
96,4913,"MousePad 9.8""×11.8"" (with Stitched Edges)",Home Decor,3.22,18.99,15.77,83.0,Y,https://ipimg.interestprint.com/data/product/4913/img/20251031/20251031004741923922_250x250.jpg,https://www.interestprint.com/custom/mousepad_9_8_11_8_with_stitched_edges-4913.html
97,4295,Trendy Stockings(Short),Shoes,3.22,15.99,12.77,79.9,Y,https://ipimg.interestprint.com/data/product/4295/img/20250423/20250423231909175322_250x250.jpg,https://www.interestprint.com/custom/trendy_stockings_short-4295.html
98,4723,Car Armrest Cover,Accessories,3.22,15.99,12.77,79.9,Y,https://ipimg.interestprint.com/data/product/4723/img/20250922/20250922204122207787_250x250.jpg,https://www.interestprint.com/custom/car_armrest_cover-4723.html
99,3946,Nail Cutter,Accessories,3.22,9.99,6.77,67.8,Y,https://ipimg.interestprint.com/data/product/3946/img/20241106/20241106191437584577_250x250.jpg,https://www.interestprint.com/custom/nail_cutter-3946.html
100,3819,Shirt Cufflinks,Accessories,3.22,9.99,6.77,67.8,Y,https://ipimg.interestprint.com/data/product/3819/img/20240918/20240918230406635554_250x250.jpg,https://www.interestprint.com/custom/shirt_cufflinks-3819.html
101,4135,Custom PU Leather Mousepad,Home Decor,3.25,15.99,12.74,79.7,Y,https://ipimg.interestprint.com/data/product/4135/img/20250116/20250116191128783541_250x250.jpg,https://www.interestprint.com/custom/custom_leather_mousepad-4135.html
102,4302,All Over Print Balaclava,Accessories,3.25,19.99,16.74,83.7,Y,https://ipimg.interestprint.com/data/product/4302/img/20250421/20250421015126628500_250x250.jpg,https://www.interestprint.com/custom/all_over_print_balaclava-4302.html
103,3914,Portable Medicine Box,Accessories,3.25,8.99,5.74,63.8,Y,https://ipimg.interestprint.com/data/product/3914/img/20241024/20241024201511733442_250x250.jpg,https://www.interestprint.com/custom/custom_portable_medicine_box-3914.html
104,3913,Contact Lens Case,Accessories,3.25,9.99,6.74,67.5,Y,https://ipimg.interestprint.com/data/product/3913/img/20241024/20241024201451876130_250x250.jpg,https://www.interestprint.com/custom/custom_contact_lens_case-3913.html
